Donation ID,Giving Entity ID,Fundraiser,Amount Donated,Date,Type of Gift,Donor Name,Type of Donor,Earmarked Fund,Center,"""Thank You"" sent?",Matching Info,Notes,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0340-20161231-0001,FAM0340,Pat Griffith Scholarship Fund Creation,$200.00 ,12/31/2016,Direct Donation,Drew Lewis 1287,Personal,PGSF,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0340-20171228-0001,FAM0340,PGSF Letter Campaign 2017,$200.00 ,12/28/2017,Direct Donation,Taylor Walker 922,Personal,PGSF,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0345-20131220-0001,FAM0345,Letter Campaign 2013,$100.00 ,12/20/2013,Direct Donation,Logan Stewart 978,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0345-20141218-0001,FAM0345,Letter Campaign 2014,$100.00 ,12/18/2014,Direct Donation,Jesse Wright 177,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0345-20160205-0001,FAM0345,Letter Campaign 2015,$100.00 ,2/5/2016,Direct Donation,Logan Stewart 978,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0491-20190125-0001,FAM0491,In Pat's Memory,$50.00 ,1/25/2019,Direct Donation,Harper Harris 855,Personal,PGSF,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0638-20061222-0001,FAM0638,Letter Campaign 2006,$100.00 ,12/22/2006,Direct Donation,Jamie Stewart 646,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0638-20080103-0001,FAM0638,Letter Campaign 2007,$100.00 ,1/3/2008,Direct Donation,Jamie Stewart 646,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0638-20081222-0001,FAM0638,Letter Campaign 2008,$100.00 ,12/22/2008,Direct Donation,Jamie Stewart 646,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0638-20091231-0001,FAM0638,Letter Campaign 2009,$100.00 ,12/31/2009,Direct Donation,Jamie Stewart 646,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0638-20120113-0001,FAM0638,Letter Campaign 2011,$100.00 ,1/13/2012,Direct Donation,Jamie Stewart 646,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0638-20161218-0001,FAM0638,Pat Griffith Scholarship Fund Creation,$100.00 ,12/18/2016,Direct Donation,Jamie Stewart 646,Personal,PGSF,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0638-20171221-0001,FAM0638,PGSF Letter Campaign 2017,$100.00 ,12/21/2017,Direct Donation,Jamie Stewart 646,Personal,PGSF,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0640-20241211-0001,FAM0640,Appeal Letter 2025,$2.38 ,12/11/2024,Direct Donation,Spencer Johnson 990,Personal,Unrestricted,C-Corp,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0659-20161201-0001,FAM0659,Pat Griffith Scholarship Fund Creation,$25.00 ,12/1/2016,Direct Donation,Sam Anderson 659,Personal,PGSF,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0662-20170103-0001,FAM0662,Pat Griffith Scholarship Fund Creation,$100.00 ,1/3/2017,Direct Donation,Sydney Clark 260,Personal,PGSF,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0666-20240525-0001,FAM0666,Blake's Mailer,$20.00 ,5/25/2024,Direct Donation,Spencer Perez 950,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0673-20080131-0001,FAM0673,Letter Campaign 2007,$50.00 ,1/31/2008,Direct Donation,Sydney Wright 1340,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0881-20240610-0001,FAM0881,Blake's Mailer,$100.00 ,6/10/2024,Direct Donation,Skylar Morris 809,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0881-20131230-0001,FAM0881,Letter Campaign 2013,$200.00 ,12/30/2013,Direct Donation,Skylar Morris 809,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0881-20141222-0001,FAM0881,Letter Campaign 2014,$200.00 ,12/22/2014,Direct Donation,Skylar Morris 809,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0881-20151231-0001,FAM0881,Letter Campaign 2015,$200.00 ,12/31/2015,Direct Donation,Skylar Morris 809,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0881-20161222-0001,FAM0881,Pat Griffith Scholarship Fund Creation,$50.00 ,12/22/2016,Direct Donation,Skylar Morris 809,Personal,PGSF,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0902-20190125-0001,FAM0902,In Pat's Memory,"$2,500.00 ",1/25/2019,Direct Donation,Payton White 1385,Personal,PGSF,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0902-20061222-0001,FAM0902,Letter Campaign 2006,$200.00 ,12/22/2006,Direct Donation,Payton White 1385,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0902-20071120-0001,FAM0902,Letter Campaign 2007,$250.00 ,11/20/2007,Direct Donation,Payton White 1385,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0902-20081222-0001,FAM0902,Letter Campaign 2008,$500.00 ,12/22/2008,Direct Donation,Payton White 1385,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0902-20121231-0001,FAM0902,Letter Campaign 2012,$200.00 ,12/31/2012,Direct Donation,Payton White 1385,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0902-20130228-0001,FAM0902,Letter Campaign 2012,$400.00 ,2/28/2013,Direct Donation,Payton White 1385,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0902-20130331-0001,FAM0902,Letter Campaign 2012,$200.00 ,3/31/2013,Direct Donation,Payton White 1385,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0902-20131223-0001,FAM0902,Letter Campaign 2013,"$1,000.00 ",12/23/2013,Direct Donation,Payton White 1385,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0902-20141231-0001,FAM0902,Letter Campaign 2014,"$1,500.00 ",12/31/2014,Direct Donation,Payton White 1385,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0902-20151231-0001,FAM0902,Letter Campaign 2015,"$2,500.00 ",12/31/2015,Direct Donation,Payton White 1385,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0902-20110531-0001,FAM0902,Noise Remediation Fundraiser,$900.00 ,5/31/2011,Direct Donation,Payton White 1385,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0902-20110630-0001,FAM0902,Noise Remediation Fundraiser,$100.00 ,6/30/2011,Direct Donation,Payton White 1385,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0902-20110731-0001,FAM0902,Noise Remediation Fundraiser,$200.00 ,7/31/2011,Direct Donation,Payton White 1385,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0902-20110831-0001,FAM0902,Noise Remediation Fundraiser,$200.00 ,8/31/2011,Direct Donation,Payton White 1385,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0902-20111130-0001,FAM0902,Noise Remediation Fundraiser,$200.00 ,11/30/2011,Direct Donation,Payton White 1385,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0902-20111231-0001,FAM0902,Noise Remediation Fundraiser,$200.00 ,12/31/2011,Direct Donation,Payton White 1385,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0902-20120131-0001,FAM0902,Noise Remediation Fundraiser,$200.00 ,1/31/2012,Direct Donation,Payton White 1385,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0902-20120229-0001,FAM0902,Noise Remediation Fundraiser,$200.00 ,2/29/2012,Direct Donation,Payton White 1385,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0902-20120331-0001,FAM0902,Noise Remediation Fundraiser,$200.00 ,3/31/2012,Direct Donation,Payton White 1385,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0902-20120430-0001,FAM0902,Noise Remediation Fundraiser,$200.00 ,4/30/2012,Direct Donation,Payton White 1385,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0902-20120831-0001,FAM0902,Noise Remediation Fundraiser,$200.00 ,8/31/2012,Direct Donation,Payton White 1385,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0902-20161201-0001,FAM0902,Pat Griffith Scholarship Fund Creation,$500.00 ,12/1/2016,Direct Donation,Payton White 1385,Personal,PGSF,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0902-20171225-0001,FAM0902,PGSF Letter Campaign 2017,$100.00 ,12/25/2017,Direct Donation,Payton White 1385,Personal,PGSF,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0902-20171230-0001,FAM0902,PGSF Letter Campaign 2017,"$2,500.00 ",12/30/2017,Direct Donation,Payton White 1385,Personal,PGSF,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0902-20080728-0001,FAM0902,Phoneraiser 2008,$200.00 ,7/28/2008,Direct Donation,Payton White 1385,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0902-20110930-0001,FAM0902,Unprompted,$200.00 ,9/30/2011,Direct Donation,Payton White 1385,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0902-20111031-0001,FAM0902,Unprompted,$200.00 ,10/31/2011,Direct Donation,Payton White 1385,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0902-20120731-0001,FAM0902,Unprompted,$200.00 ,7/31/2012,Direct Donation,Payton White 1385,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0902-20120930-0001,FAM0902,Unprompted,$200.00 ,9/30/2012,Direct Donation,Payton White 1385,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0902-20120930-0002,FAM0902,Unprompted,$200.00 ,9/30/2012,Direct Donation,Payton White 1385,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0902-20121031-0001,FAM0902,Unprompted,$200.00 ,10/31/2012,Direct Donation,Payton White 1385,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0902-20121130-0001,FAM0902,Unprompted,$200.00 ,11/30/2012,Direct Donation,Payton White 1385,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0902-20210415-0001,FAM0902,Unprompted,$555.56 ,4/15/2021,Direct Donation,Payton White 1385,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0941-20071211-0001,FAM0941,Letter Campaign 2007,$25.00 ,12/11/2007,Direct Donation,Shannon King 941,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0941-20081223-0001,FAM0941,Letter Campaign 2008,$35.00 ,12/23/2008,Direct Donation,Shannon King 941,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM0941-20110201-0001,FAM0941,Letter Campaign 2010,$40.00 ,2/1/2011,Direct Donation,Shannon King 941,Personal,Unrestricted,C-Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
