Giving Entity ID,FamilyID,Full Name,First Name,Last Name,Email Address,Email Address 2,Full Address,Street Address,City,State,ZIP,Phone Number,Child(ren) Enrolled,Photo Release Signed?,Connection,Center,Send via,Phrase,ALIVE,In/Out,Total Donated,Number of Donations,Date of Most Recent Donation,Amount of Most Recent Donation,Cause of Most Recent Gift,Most Recent Thank You Letter Sent,NOTES,TAGS,,
FAM0024,FID0006,Shannon Lopez 308,Shannon,Lopez,donor308@example.com,,"1408 Main St, City1308, ST, 90001308",1408 Main St,City308,ST,9000308,555-000-308,ChildA-1308,,Former Parent,C-LCV,post,see attached,Living,In,,,,,,,,,,
FAM0024,FID0006,Spencer Cook 790,Spencer,Cook,donor790@example.com,,"1408 Main St, City1308, ST, 90001308",1408 Main St,City790,ST,9000790,555-000-790,ChildA-1308,,Former Parent,C-LCV,post,see attached,Living,In,,,,,,,,,,
FAM0030,FID0007,Frankie Flores 236,Frankie,Flores,donor236@example.com,,"1336 Main St, City1236, ST, 90001236",1336 Main St,City236,ST,9000236,555-000-236,ChildA-1236,,Former Parent,C-LCV,post,see attached,Living,In,,,,,,,,,,
FAM0030,FID0007,Milan Mitchell 397,Milan,Mitchell,donor397@example.com,,"1336 Main St, City1236, ST, 90001236",1336 Main St,City397,ST,9000397,555-000-397,ChildA-1236,,Former Parent,C-LCV,post,see attached,Living,In,,,,,,,,,,
FAM0320,FID0007,Milan White 1117,Milan,White,donor1117@example.com,,"2217 Main St, City2117, ST, 90002117",2217 Main St,City1117,ST,90001117,555-000-1117,ChildA-2117,,Former Parent,C-LCV,post,see attached,Living,In,,,,,,,,,,
FAM0322,FID0007,Robin Scott 861,Robin,Scott,donor861@example.com,,"1439 Main St, City1339, ST, 90001339",1439 Main St,City861,ST,9000861,555-000-861,ChildA-1339,,Former Parent,C-JP,post,see attached,Living,In,,,,,,,,,,
FAM0034,FID0008,Quinn Rivera 208,Quinn,Rivera,donor208@example.com,,"1308 Main St, City1208, ST, 90001208",1308 Main St,City208,ST,9000208,555-000-208,ChildA-1208,,Former Parent,C-JP,post,see attached,Living,In,,,,,,,,,,
FAM0034,FID0008,Riley Torres 650,Riley,Torres,donor650@example.com,,"1308 Main St, City1208, ST, 90001208",1308 Main St,City650,ST,9000650,555-000-650,ChildA-1208,,Former Parent,C-JP,post,see attached,Living,In,,,,,,,,,,
FAM0045,FID0009,Harper Parker 1335,Harper,Parker,donor1335@example.com,,"1503 Main St, City1403, ST, 90001403",1503 Main St,City1335,ST,90001335,555-000-1335,ChildA-1403,,Former Parent,C-JP,post,see attached,Living,In,,,,,,,,,,
FAM0045,FID0009,Morgan Anderson 403,Morgan,Anderson,donor403@example.com,,"1503 Main St, City1403, ST, 90001403",1503 Main St,City403,ST,9000403,555-000-403,ChildA-1403,,Former Parent,C-JP,post,see attached,Living,In,,,,,,,,,,
FAM0047,FID0010,Reese Phillips 591,Reese,Phillips,donor591@example.com,,"1691 Main St, City1591, ST, 90001591",1691 Main St,City591,ST,9000591,555-000-591,ChildA-1591,,Former Parent,C-JP,post,see attached,Living,In,,,,,,,,,,
FAM0047,FID0010,Taylor Hall 842,Taylor,Hall,donor842@example.com,,"1691 Main St, City1591, ST, 90001591",1691 Main St,City842,ST,9000842,555-000-842,ChildA-1591,,Former Parent,C-JP,post,see attached,Living,In,,,,,,,,,,
FAM0053,FID0011,Alex Murphy 840,Alex,Murphy,donor840@example.com,,"1940 Main St, City1840, ST, 90001840",1940 Main St,City840,ST,9000840,555-000-840,ChildA-1840,,Former Parent,C-JP,post,see attached,Living,In,$100.00 ,1,1/27/2020,$100.00 ,,,,,,
FAM0053,FID0011,Taylor Lopez 1202,Taylor,Lopez,donor1202@example.com,donor12022@example.com,"1940 Main St, City1840, ST, 90001840",1940 Main St,City1202,ST,90001202,555-000-1202,ChildA-1840,,Former Parent,C-JP,post,see attached,Living,In,$100.00 ,1,1/27/2020,$100.00 ,,,,,,
FAM0055,FID0012,Cameron Allen 1331,Cameron,Allen,donor1331@example.com,,"2431 Main St, City2331, ST, 90002331",2431 Main St,City1331,ST,90001331,555-000-1331,ChildA-2331,,Former Parent,C-JP,post,see attached,Living,In,,,,,,,,,,
FAM0055,FID0012,Dakota Murphy 1416,Dakota,Murphy,donor1416@example.com,,"2431 Main St, City2331, ST, 90002331",2431 Main St,City1416,ST,90001416,555-000-1416,ChildA-2331,,Former Parent,C-JP,post,see attached,Living,In,,,,,,,,,,
FAM0059,FID0013,Dakota Mitchell 336,Dakota,Mitchell,donor336@example.com,,"1159 Main St, City1059, ST, 90001059",1159 Main St,City336,ST,9000336,555-000-336,ChildA-1059,,Former Parent,C-JP,post,see attached,Living,In,,,,,,,,,,
FAM0059,FID0013,Parker Carter 59,Parker,Carter,donor59@example.com,,"1159 Main St, City1059, ST, 90001059",1159 Main St,City59,ST,900059,555-000-59,ChildA-1059,,Former Parent,C-JP,post,see attached,Living,In,,,,,,,,,,
FAM0063,FID0014,Morgan King 483,Morgan,King,donor483@example.com,,"1583 Main St, City1483, ST, 90001483",1583 Main St,City483,ST,9000483,555-000-483,ChildA-1483,,Former Parent,C-JP,post,see attached,Living,In,$100.00 ,1,1/28/2020,$100.00 ,,,,,,
FAM0063,FID0014,Sawyer Nguyen 999,Sawyer,Nguyen,donor999@example.com,,"1583 Main St, City1483, ST, 90001483",1583 Main St,City999,ST,9000999,555-000-999,ChildA-1483,,Former Parent,C-JP,post,see attached,Living,In,$100.00 ,1,1/28/2020,$100.00 ,,,,,,
FAM0065,FID0015,Quinn Johnson 1328,Quinn,Johnson,donor1328@example.com,,"1905 Main St, City1805, ST, 90001805",1905 Main St,City1328,ST,90001328,555-000-1328,ChildA-1805,Yes,Parent,C-HP,post,see attached,Living,In,,,,,,,,,,
FAM0065,FID0015,Sam Scott 805,Sam,Scott,donor805@example.com,,"1905 Main St, City1805, ST, 90001805",1905 Main St,City805,ST,9000805,555-000-805,ChildA-1805,Yes,Parent,C-HP,post,see attached,Living,In,,,,,,,,,,
FAM0067,FID0016,Brooklyn Rivera 594,Brooklyn,Rivera,donor594@example.com,,"1434 Main St, City1334, ST, 90001334",1434 Main St,City594,ST,9000594,555-000-594,ChildA-1334,,Former Parent,C-JP,post,see attached,Living,In,$40.00 ,1,2/29/2020,$40.00 ,,,,,,
FAM0067,FID0016,Elliot Carter 334,Elliot,Carter,donor334@example.com,,"1434 Main St, City1334, ST, 90001334",1434 Main St,City334,ST,9000334,555-000-334,ChildA-1334,,Former Parent,C-JP,post,see attached,Living,In,$40.00 ,1,2/29/2020,$40.00 ,,,,,,
FAM0069,FID0017,Riley Campbell 10,Riley,Campbell,donor10@example.com,,"1110 Main St, City1010, ST, 90001010",1110 Main St,City10,ST,900010,555-000-10,ChildA-1010,,Parent,C-TD,post,see attached,Living,In,,,,,,,,,,
FAM0069,FID0017,Sydney Hall 900,Sydney,Hall,donor900@example.com,,"1110 Main St, City1010, ST, 90001010",1110 Main St,City900,ST,9000900,555-000-900,ChildA-1010,,Parent,C-TD,post,see attached,Living,In,,,,,,,,,,
FAM0073,FID0018,Phoenix Martin 1198,Phoenix,Martin,donor1198@example.com,,"2265 Main St, City2165, ST, 90002165",2265 Main St,City1198,ST,90001198,555-000-1198,ChildA-2165,,Former Parent,C-JP,post,see attached,Living,In,,,,,,,,,,
FAM0073,FID0018,Sam Murphy 1165,Sam,Murphy,donor1165@example.com,,"2265 Main St, City2165, ST, 90002165",2265 Main St,City1165,ST,90001165,555-000-1165,ChildA-2165,,Former Parent,C-JP,post,see attached,Living,In,,,,,,,,,,
FAM0075,FID0019,Kendall Clark 472,Kendall,Clark,donor472@example.com,,"1572 Main St, City1472, ST, 90001472",1572 Main St,City472,ST,9000472,555-000-472,ChildA-1472,,Former Parent,C-JP,post,see attached,Living,In,$25.00 ,1,12/3/2016,$25.00 ,,,,,,
FAM0075,FID0019,Sawyer Clark 1199,Sawyer,Clark,donor1199@example.com,,"1572 Main St, City1472, ST, 90001472",1572 Main St,City1199,ST,90001199,555-000-1199,ChildA-1472,,Former Parent,C-JP,post,see attached,Living,In,$25.00 ,1,12/3/2016,$25.00 ,,,,,,
FAM0077,FID0020,Hunter White 829,Hunter,White,donor829@example.com,,"1757 Main St, City1657, ST, 90001657",1757 Main St,City829,ST,9000829,555-000-829,ChildA-1657,,Former Parent,C-LCV,post,see attached,Living,In,,,,,,,,,,
FAM0077,FID0020,Jesse Flores 657,Jesse,Flores,donor657@example.com,,"1757 Main St, City1657, ST, 90001657",1757 Main St,City657,ST,9000657,,ChildA-1657,,Former Parent,C-LCV,post,see attached,Living,In,,,,,,,,,,
FAM0080,FID0021,Cameron Taylor 611,Cameron,Taylor,donor611@example.com,,"1702 Main St, City1602, ST, 90001602",1702 Main St,City611,ST,9000611,555-000-611,ChildA-1602,Yes,Parent,C-HP,post,see attached,Living,In,,,,,,,,,,
FAM0080,FID0021,Taylor Scott 602,Taylor,Scott,donor602@example.com,,"1702 Main St, City1602, ST, 90001602",1702 Main St,City602,ST,9000602,555-000-602,ChildA-1602,Yes,Parent,C-HP,post,see attached,Living,In,,,,,,,,,,
FAM0082,FID0022,Drew Walker 367,Drew,Walker,donor367@example.com,,"1137 Main St, City1037, ST, 90001037",1137 Main St,City367,ST,9000367,555-000-367,ChildA-1037,Yes,Parent,C-HP,post,see attached,Living,In,,,,,,,,,,
FAM0082,FID0022,Milan Harris 37,Milan,Harris,donor37@example.com,,"1137 Main St, City1037, ST, 90001037",1137 Main St,City37,ST,900037,555-000-37,ChildA-1037,Yes,Parent,C-HP,post,see attached,Living,In,,,,,,,,,,
FAM0084,FID0023,Jamie Mitchell 406,Jamie,Mitchell,donor406@example.com,,"1506 Main St, City1406, ST, 90001406",1506 Main St,City406,ST,9000406,555-000-406,ChildA-1406,,Former Parent,C-LCV,post,see attached,Living,In,$50.00 ,1,6/23/2015,$50.00 ,,,,,,
FAM0084,FID0023,Jesse Lewis 777,Jesse,Lewis,donor777@example.com,,"1506 Main St, City1406, ST, 90001406",1506 Main St,City777,ST,9000777,555-000-777,ChildA-1406,,Former Parent,C-LCV,post,see attached,Living,In,$50.00 ,1,6/23/2015,$50.00 ,,,,,,
FAM0093,FID0024,Frankie Brown 276,Frankie,Brown,donor276@example.com,,"1376 Main St, City1276, ST, 90001276",1376 Main St,City276,ST,9000276,555-000-276,ChildA-1276,,Parent,C-TD,post,see attached,Living,In,,,,,,,,,,
FAM0093,FID0024,Jordan Anderson 426,Jordan,Anderson,donor426@example.com,,"1376 Main St, City1276, ST, 90001276",1376 Main St,City426,ST,9000426,555-000-426,ChildA-1276,,Parent,C-TD,post,see attached,Living,In,,,,,,,,,,
FAM0095,FID0025,Elliot White 614,Elliot,White,donor614@example.com,,"1566 Main St, City1466, ST, 90001466",1566 Main St,City614,ST,9000614,555-000-614,ChildA-1466,,Parent,C-TD,post,see attached,Living,In,,,,,,,,,,
FAM0095,FID0025,Jordan Brown 466,Jordan,Brown,donor466@example.com,,"1566 Main St, City1466, ST, 90001466",1566 Main St,City466,ST,9000466,555-000-466,ChildA-1466,,Parent,C-TD,post,see attached,Living,In,,,,,,,,,,
FAM0101,FID0026,Jamie Adams 1326,Jamie,Adams,donor1326@example.com,,"1469 Main St, City1369, ST, 90001369",1469 Main St,City1326,ST,90001326,555-000-1326,ChildA-1369,,Former Parent,C-JP,post,see attached,Living,In,,,,,,,,,,
FAM0101,FID0026,Skylar Nguyen 369,Skylar,Nguyen,donor369@example.com,,"1469 Main St, City1369, ST, 90001369",1469 Main St,City369,ST,9000369,555-000-369,ChildA-1369,,Former Parent,C-JP,post,see attached,Living,In,,,,,,,,,,
FAM0110,FID0027,Hunter Stewart 389,Hunter,Stewart,donor389@example.com,,"1251 Main St, City1151, ST, 90001151",1251 Main St,City389,ST,9000389,555-000-389,ChildA-1151,,Former Parent,C-JP,post,see attached,Living,In,,,,,,,,,,
FAM0110,FID0027,Reese Parker 151,Reese,Parker,donor151@example.com,,"1251 Main St, City1151, ST, 90001151",1251 Main St,City151,ST,9000151,555-000-151,ChildA-1151,,Former Parent,C-JP,post,see attached,Living,In,,,,,,,,,,
FAM0116,FID0028,Payton White 1105,Payton,White,donor1105@example.com,,"1829 Main St, City1729, ST, 90001729",1829 Main St,City1105,ST,90001105,555-000-1105,ChildA-1729,,Former Parent,C-JP,post,see attached,Living,In,,,,,,,,,,
FAM0116,FID0028,Skylar Martin 729,Skylar,Martin,donor729@example.com,,"1829 Main St, City1729, ST, 90001729",1829 Main St,City729,ST,9000729,555-000-729,ChildA-1729,,Former Parent,C-JP,post,see attached,Living,In,,,,,,,,,,
FAM0118,FID0029,Eden Walker 1355,Eden,Walker,donor1355@example.com,,"2157 Main St, City2057, ST, 90002057",2157 Main St,City1355,ST,90001355,555-000-1355,ChildA-2057,,Former Parent,C-JP,post,see attached,Living,In,,,,,,,,,,
FAM0118,FID0029,Jesse Morris 1057,Jesse,Morris,donor1057@example.com,,"2157 Main St, City2057, ST, 90002057",2157 Main St,City1057,ST,90001057,555-000-1057,ChildA-2057,,Former Parent,C-JP,post,see attached,Living,In,,,,,,,,,,
FAM0131,FID0030,Alex Stewart 1320,Alex,Stewart,donor1320@example.com,,"2012 Main St, City1912, ST, 90001912",2012 Main St,City1320,ST,90001320,,ChildA-1912,,Former Parent,C-LCV,post,see attached,Living,In,,,,,,,,,,
FAM0131,FID0030,Kendall Collins 912,Kendall,Collins,donor912@example.com,,"2012 Main St, City1912, ST, 90001912",2012 Main St,City912,ST,9000912,555-000-912,ChildA-1912,,Former Parent,C-LCV,post,see attached,Living,In,,,,,,,,,,
FAM0133,FID0031,Morgan Johnson 963,Morgan,Johnson,donor963@example.com,,"1970 Main St, City1870, ST, 90001870",1970 Main St,City963,ST,9000963,555-000-963,ChildA-1870,,Former Parent,C-LCV,post,see attached,Living,In,,,,,,,,,,
FAM0133,FID0031,Spencer Cook 870,Spencer,Cook,donor870@example.com,,"1970 Main St, City1870, ST, 90001870",1970 Main St,City870,ST,9000870,555-000-870,ChildA-1870,,Former Parent,C-LCV,post,see attached,Living,In,,,,,,,,,,
FAM0135,FID0032,Sydney Martin 340,Sydney,Martin,donor340@example.com,,"1440 Main St, City1340, ST, 90001340",1440 Main St,City340,ST,9000340,555-000-340,ChildA-1340,,Former Parent,C-HP,post,see attached,Living,In,,,,,,,,,,
FAM0135,FID0032,Taylor Phillips 762,Taylor,Phillips,donor762@example.com,,"1440 Main St, City1340, ST, 90001340",1440 Main St,City762,ST,9000762,555-000-762,ChildA-1340,,Former Parent,C-HP,post,see attached,Living,In,,,,,,,,,,
FAM0139,FID0033,Jordan Brown 1241,Jordan,Brown,donor1241@example.com,,"2230 Main St, City2130, ST, 90002130",2230 Main St,City1241,ST,90001241,555-000-1241,ChildA-2130,,Former Parent,C-JP,post,see attached,Living,In,,,,,,,,,,
FAM0139,FID0033,Riley Allen 1130,Riley,Allen,donor1130@example.com,,"2230 Main St, City2130, ST, 90002130",2230 Main St,City1130,ST,90001130,555-000-1130,ChildA-2130,,Former Parent,C-JP,post,see attached,Living,In,,,,,,,,,,
FAM0146,FID0034,Dylan Perez 1183,Dylan,Perez,donor1183@example.com,,"2283 Main St, City2183, ST, 90002183",2283 Main St,City1183,ST,90001183,555-000-1183,ChildA-2183,,Parent,C-TD,post,see attached,Living,In,,,,,,,,,,
FAM0146,FID0034,Logan Edwards 1418,Logan,Edwards,donor1418@example.com,,"2283 Main St, City2183, ST, 90002183",2283 Main St,City1418,ST,90001418,555-000-1418,ChildA-2183,,Parent,C-TD,post,see attached,Living,In,,,,,,,,,,
FAM0148,FID0035,Charlie Perez 293,Charlie,Perez,donor293@example.com,,"1393 Main St, City1293, ST, 90001293",1393 Main St,City293,ST,9000293,555-000-293,ChildA-1293,,Former Parent,C-JP,post,see attached,Living,In,,,,,,,,,,
FAM0148,FID0035,Corey Flores 427,Corey,Flores,donor427@example.com,,"1393 Main St, City1293, ST, 90001293",1393 Main St,City427,ST,9000427,555-000-427,ChildA-1293,,Former Parent,C-JP,post,see attached,Living,In,,,,,,,,,,
FAM0152,FID0036,Logan Edwards 18,Logan,Edwards,donor18@example.com,,"1118 Main St, City1018, ST, 90001018",1118 Main St,City18,ST,900018,555-000-18,ChildA-1018,,Former Parent,C-JP,post,see attached,Living,In,,,,,,,,,,
FAM0152,FID0036,Shannon Evans 988,Shannon,Evans,donor988@example.com,,"1118 Main St, City1018, ST, 90001018",1118 Main St,City988,ST,9000988,555-000-988,ChildA-1018,,Former Parent,C-JP,post,see attached,Living,In,,,,,,,,,,
FAM0157,FID0037,Jordan Rivera 266,Jordan,Rivera,donor266@example.com,,"1366 Main St, City1266, ST, 90001266",1366 Main St,City266,ST,9000266,555-000-266,ChildA-1266,,Former Parent,C-LCV,post,see attached,Living,In,$100.00 ,1,2/21/2020,$100.00 ,,,,,,
FAM0157,FID0037,Milan Phillips 1277,Milan,Phillips,donor1277@example.com,,"1366 Main St, City1266, ST, 90001266",1366 Main St,City1277,ST,90001277,555-000-1277,ChildA-1266,,Former Parent,C-LCV,post,see attached,Living,In,$100.00 ,1,2/21/2020,$100.00 ,,,,,,
FAM0159,FID0038,Jamie Mitchell 886,Jamie,Mitchell,donor886@example.com,,"1731 Main St, City1631, ST, 90001631",1731 Main St,City886,ST,9000886,555-000-886,ChildA-1631,Yes,Parent,C-HP,post,see attached,Living,In,,,,,,,,,,
FAM0159,FID0038,Reese Perez 631,Reese,Perez,donor631@example.com,,"1731 Main St, City1631, ST, 90001631",1731 Main St,City631,ST,9000631,555-000-631,ChildA-1631,Yes,Parent,C-HP,post,see attached,Living,In,,,,,,,,,,
FAM0173,FID0039,Phoenix King 1478,Phoenix,King,donor1478@example.com,,"1709 Main St, City1609, ST, 90001609",1709 Main St,City1478,ST,90001478,555-000-1478,ChildA-1609,,Former Parent,C-JP,post,see attached,Living,In,,,,,,,,,,
FAM0173,FID0039,Skylar Walker 609,Skylar,Walker,donor609@example.com,,"1709 Main St, City1609, ST, 90001609",1709 Main St,City609,ST,9000609,555-000-609,ChildA-1609,,Former Parent,C-JP,post,see attached,Living,In,,,,,,,,,,
FAM0175,FID0040,Alex Rogers 520,Alex,Rogers,donor520@example.com,,"1620 Main St, City1520, ST, 90001520",1620 Main St,City520,ST,9000520,555-000-520,ChildA-1520,,Parent,C-TD,post,see attached,Living,In,,,,,,,,,,
FAM0175,FID0040,Milan Taylor 1237,Milan,Taylor,donor1237@example.com,,"1620 Main St, City1520, ST, 90001520",1620 Main St,City1237,ST,90001237,555-000-1237,ChildA-1520,,Parent,C-TD,post,see attached,Living,In,,,,,,,,,,
FAM0177,FID0041,Corey Walker 867,Corey,Walker,donor867@example.com,,"1742 Main St, City1642, ST, 90001642",1742 Main St,City867,ST,9000867,555-000-867,ChildA-1642,,Former Parent,C-LCV,post,see attached,Living,In,$610.00 ,3,5/26/2015,$160.00 ,,,,,,
FAM0177,FID0041,Taylor Wright 642,Taylor,Wright,donor642@example.com,,"1742 Main St, City1642, ST, 90001642",1742 Main St,City642,ST,9000642,555-000-642,ChildA-1642,,Former Parent,C-LCV,post,see attached,Living,In,$600.00 ,3,12/18/2013,$150.00 ,,,,,,
FAM0179,FID0042,Robin Smith 1341,Robin,Smith,donor1341@example.com,,"2370 Main St, City2270, ST, 90002270",2370 Main St,City1341,ST,90001341,555-000-1341,ChildA-2270,,Parent,C-TD,post,see attached,Living,In,,,,,,,,,,
FAM0179,FID0042,Spencer Brown 1270,Spencer,Brown,donor1270@example.com,,"2370 Main St, City2270, ST, 90002270",2370 Main St,City1270,ST,90001270,555-000-1270,ChildA-2270,,Former Parent,C-TD,post,see attached,Living,In,,,,,,,,,,
FAM0181,FID0043,Jamie Torres 1086,Jamie,Torres,donor1086@example.com,,"1902 Main St, City1802, ST, 90001802",1902 Main St,City1086,ST,90001086,555-000-1086,ChildA-1802,,Former Parent,C-LCV,post,see attached,Living,In,,,,,,,,,,
FAM0181,FID0043,Taylor Allen 802,Taylor,Allen,donor802@example.com,,"1902 Main St, City1802, ST, 90001802",1902 Main St,City802,ST,9000802,,ChildA-1802,,Former Parent,C-LCV,post,see attached,Living,In,,,,,,,,,,
FAM0188,FID0044,Elliot White 1174,Elliot,White,donor1174@example.com,,"2274 Main St, City2174, ST, 90002174",2274 Main St,City1174,ST,90001174,555-000-1174,ChildA-2174,,Former Parent,C-JP,post,see attached,Living,In,$100.00 ,1,1/24/2020,$100.00 ,,,,,,
FAM0188,FID0044,Harper Adams 1375,Harper,Adams,donor1375@example.com,,"2274 Main St, City2174, ST, 90002174",2274 Main St,City1375,ST,90001375,555-000-1375,ChildA-2174,,Former Parent,C-JP,post,see attached,Living,In,$100.00 ,1,1/24/2020,$100.00 ,,,,,,
FAM0190,FID0045,Jordan Murphy 26,Jordan,Murphy,donor26@example.com,,"1126 Main St, City1026, ST, 90001026",1126 Main St,City26,ST,900026,555-000-26,ChildA-1026,,Former Parent,C-LCV,post,see attached,Living,In,,,,,,,,,,
FAM0197,FID0046,Jordan Flores 961,Jordan,Flores,donor961@example.com,,"1985 Main St, City1885, ST, 90001885",1985 Main St,City961,ST,9000961,555-000-961,ChildA-1885,,Former Parent,C-JP,post,see attached,Living,In,,,,,,,,,,
FAM0197,FID0046,Sam Lewis 885,Sam,Lewis,donor885@example.com,,"1985 Main St, City1885, ST, 90001885",1985 Main St,City885,ST,9000885,555-000-885,ChildA-1885,,Former Parent,C-JP,post,see attached,Living,In,,,,,,,,,,
FAM0200,FID0047,Avery Taylor 852,Avery,Taylor,donor852@example.com,,"1756 Main St, City1656, ST, 90001656",1756 Main St,City852,ST,9000852,555-000-852,ChildA-1656,,Parent,C-TD,post,see attached,Living,In,,,,,,,,,,
FAM0200,FID0047,Dakota Scott 656,Dakota,Scott,donor656@example.com,,"1756 Main St, City1656, ST, 90001656",1756 Main St,City656,ST,9000656,555-000-656,ChildA-1656,,Parent,C-TD,post,see attached,Living,In,,,,,,,,,,
FAM0204,FID0048,Kendall Allen 1072,Kendall,Allen,donor1072@example.com,,"1800 Main St, City1700, ST, 90001700",1800 Main St,City1072,ST,90001072,555-000-1072,ChildA-1700,,Former Parent,C-JP,post,see attached,Living,In,,,,,,,,,,
FAM0204,FID0048,Sydney Rogers 700,Sydney,Rogers,donor700@example.com,,"1800 Main St, City1700, ST, 90001700",1800 Main St,City700,ST,9000700,555-000-700,ChildA-1700,,Former Parent,C-JP,post,see attached,Living,In,,,,,,,,,,
FAM0206,FID0049,Avery Lewis 1132,Avery,Lewis,donor1132@example.com,,"2232 Main St, City2132, ST, 90002132",2232 Main St,City1132,ST,90001132,555-000-1132,ChildA-2132,,Former Parent,C-JP,post,see attached,Living,In,$250.00 ,1,1/28/2020,$250.00 ,,,,,,
FAM0206,FID0049,Shannon Morris 1308,Shannon,Morris,donor1308@example.com,,"2232 Main St, City2132, ST, 90002132",2232 Main St,City1308,ST,90001308,555-000-1308,ChildA-2132,,Former Parent,C-JP,post,see attached,Living,In,$250.00 ,1,1/28/2020,$250.00 ,,,,,,
FAM0210,FID0050,Hunter Anderson 469,Hunter,Anderson,donor469@example.com,,"1569 Main St, City1469, ST, 90001469",1569 Main St,City469,ST,9000469,555-000-469,ChildA-1469,,Parent,C-TD,post,see attached,Living,In,,,,,,,,,,
FAM0210,FID0050,Shannon Lopez 1268,Shannon,Lopez,donor1268@example.com,,"1569 Main St, City1469, ST, 90001469",1569 Main St,City1268,ST,90001268,555-000-1268,ChildA-1469,,Parent,C-TD,post,see attached,Living,In,,,,,,,,,,
FAM0215,FID0051,Jesse Walker 1137,Jesse,Walker,donor1137@example.com,,"1561 Main St, City1461, ST, 90001461",1561 Main St,City1137,ST,90001137,555-000-1137,ChildA-1461,,Former Parent,C-LCV,post,see attached,Living,In,,,,,,,,,,
FAM0215,FID0051,Robin Phillips 461,Robin,Phillips,donor461@example.com,,"1561 Main St, City1461, ST, 90001461",1561 Main St,City461,ST,9000461,,ChildA-1461,,Former Parent,C-LCV,post,see attached,Living,In,,,,,,,,,,
FAM0217,FID0052,Hunter Harris 629,Hunter,Harris,donor629@example.com,,"1729 Main St, City1629, ST, 90001629",1729 Main St,City629,ST,9000629,555-000-629,ChildA-1629,,Former Parent,C-JP,post,see attached,Living,In,,,,,,,,,,
FAM0217,FID0052,Jordan Adams 946,Jordan,Adams,donor946@example.com,,"1729 Main St, City1629, ST, 90001629",1729 Main St,City946,ST,9000946,555-000-946,ChildA-1629,,Former Parent,C-JP,post,see attached,Living,In,,,,,,,,,,
