ChildID,Name,Birthdate,RateType,Enrolled,StartDate,EndDate,FamilyID,PrimaryPayerID,SecondaryPayerID
ChildA-1311,John Garcia,12/14/2022,Community,Enrolled,8/26/2024,,FID0073,FAM0311,FAM0311
ChildA-1331,Brian Warner,3/20/2008,City,Graduated,3/28/2012,3/19/2013,FID0074,FAM0313,FAM0313
ChildA-1752,Emily Ford,12/1/2003,Community,Graduated,8/18/2007,11/29/2008,FID0075,FAM0315,FAM0315
ChildA-1752,Daniel Drake,1/9/2009,City,Graduated,1/8/2010,1/8/2014,FID0075,FAM0315,FAM0315
ChildA-2117,Anna Horton,10/2/2015,Community,Graduated,11/16/2017,9/30/2020,FID0007,FAM0320,FAM0320
ChildA-2117,Kirk Reed,6/27/2015,Community,Graduated,4/19/2019,6/25/2020,FID0076,FAM0320,FAM0320
ChildA-1339,Wendy Morris,10/29/2008,City,Graduated,10/14/2010,10/28/2013,FID0077,FAM0322,FAM0322
ChildA-1339,Sean Williams,3/27/2011,Community,Graduated,5/15/2015,3/25/2016,FID0007,FAM0322,FAM0322
ChildA-1529,Erik Davis,3/1/2015,Community,Graduated,2/4/2019,2/28/2020,FID0078,FAM0331,FAM0331
ChildA-1523,Michael Williams,4/4/2020,Community,Graduated,8/19/2024,11/26/2024,FID0079,FAM0333,FAM0333
ChildA-1498,Jeremy Torres,2/18/2015,City,Removed,9/21/2017,6/28/2018,FID0080,FAM0335,FAM0335
ChildA-1358,Michael Jimenez,12/23/2012,City,Graduated,8/6/2015,12/22/2017,FID0081,FAM0347,FAM0347
ChildA-2255,Donald Doyle,7/4/2018,City,Graduated,10/6/2021,7/3/2023,FID0082,FAM0349,FAM0349
ChildA-1823,Adam King,3/27/2016,Community,Graduated,8/14/2020,3/26/2021,FID0083,FAM0354,FAM0354
ChildA-1206,Angela Wilson,5/18/2019,Community,Graduated,10/9/2020,5/16/2024,FID0084,FAM0357,FAM0357
ChildA-1220,Lisa Gay,10/26/2007,Community,Graduated,6/1/2010,10/24/2012,FID0085,FAM0359,FAM0359
ChildA-1423,Brittany Peterson,6/26/2012,Community,Graduated,1/24/2013,6/25/2017,FID0086,FAM0368,FAM0368
ChildA-1753,Lori Turner,7/16/2013,Community,Graduated,7/12/2016,7/15/2018,FID0087,FAM0370,FAM0370
ChildA-1648,Vanessa Berry,8/3/2011,Community,Graduated,5/27/2013,8/1/2016,FID0088,FAM0373,FAM0373
ChildA-1550,Timothy Martinez,4/30/2013,City,Graduated,5/4/2015,4/29/2018,FID0089,FAM0376,FAM0376
ChildA-1146,Hannah Barnett,9/27/2004,Community,Graduated,4/14/2006,9/26/2009,FID0090,FAM0378,FAM0378
ChildA-1487,Bradley Wallace,4/15/2015,Community,Graduated,6/18/2019,4/13/2020,FID0091,FAM0383,FAM0383
ChildA-1502,Blake Palmer,3/7/2011,City,Graduated,7/8/2012,3/5/2016,FID0093,FAM0389,FAM0389
ChildA-1292,Anna Flores,9/28/1998,Community,Graduated,3/7/2003,9/27/2003,FID0094,FAM0392,FAM0392
ChildA-1270,Jennifer Carr,7/8/2014,City,Graduated,6/4/2018,7/7/2019,FID0095,FAM0396,FAM0396
ChildA-1467,Monica Romero,12/12/2011,City,Graduated,12/13/2014,12/10/2016,FID0096,FAM0405,FAM0405
ChildA-1420,William Chase,6/17/2003,Federal,Graduated,2/12/2004,6/15/2008,FID0097,FAM0409,FAM0409
ChildA-1645,Heather Palmer,7/25/2020,Community,Graduated,1/7/2024,8/25/2024,FID0098,FAM0412,FAM0412
ChildA-1598,Jeffrey Davis,3/9/2017,Community,Graduated,12/19/2017,3/8/2022,FID0099,FAM0415,FAM0415
ChildA-1917,Jennifer Carr,4/29/2014,City,Removed,7/5/2015,6/27/2017,FID0100,FAM0422,FAM0422
ChildA-1091,Lisa Vasquez,2/26/2015,Community,Graduated,12/22/2018,2/25/2020,FID0101,FAM0424,FAM0424
ChildA-1425,Susan Bailey,6/27/2018,City,Graduated,3/12/2023,6/26/2023,FID0102,FAM0426,FAM0426
ChildA-1327,Destiny Johnson,12/14/2012,Community,Graduated,7/8/2016,12/13/2017,FID0103,FAM0428,FAM0428
ChildA-1194,Timothy Gordon,1/10/2020,Federal,Graduated,5/27/2022,9/25/2024,FID0104,FAM0435,FAM0435
ChildA-2022,Kelly Russo,2/13/2001,Community,Graduated,10/21/2003,2/12/2006,FID0105,FAM0445,FAM0445
ChildA-1271,Tristan Petersen,3/8/2007,Community,Graduated,1/23/2009,3/6/2012,FID0106,FAM0447,FAM0447
ChildA-1046,Cody Kim,1/22/2010,Community,Graduated,11/5/2011,1/21/2015,FID0107,FAM0453,FAM0453
ChildA-1304,Barbara Acosta,4/30/2014,Community,Graduated,5/4/2016,4/29/2019,FID0108,FAM0457,FAM0457
ChildA-2052,Andrew Delgado,3/1/2015,Community,Graduated,1/27/2020,2/28/2020,FID0109,FAM0464,FAM0464
ChildA-1482,Mike Reeves,11/18/2014,Community,Graduated,8/31/2017,11/17/2019,FID0110,FAM0468,FAM0468
ChildA-1004,Gary Arnold,12/14/2003,Community,Graduated,8/12/2004,12/12/2008,FID0111,FAM0472,FAM0472
ChildA-1195,Brian Mendez,8/2/1997,Community,Graduated,3/16/2002,8/1/2002,FID0112,FAM0478,FAM0478
ChildA-1883,Michelle Singh,11/13/2009,Community,Graduated,12/26/2010,11/12/2014,FID0113,FAM0480,FAM0480
ChildA-1740,Paul Brooks,6/26/2001,Community,Graduated,4/1/2004,6/25/2006,FID0114,FAM0483,FAM0483
ChildA-1180,Molly Thornton,3/26/2004,Federal,Removed,7/2/2006,8/6/2008,FID0115,FAM0487,FAM0487
ChildA-1180,Laurie Boyle,11/5/2013,City,Graduated,1/13/2015,11/4/2018,FID0115,FAM0487,FAM0487
ChildA-2296,Abigail Jones,8/16/2005,City,Graduated,3/15/2010,8/15/2010,FID0116,FAM0489,FAM0489
ChildA-1118,Michelle Wright,2/18/2016,City,Removed,1/4/2017,11/19/2017,FID0117,FAM0491,FAM0491
ChildA-1197,Ryan Haynes,5/3/2018,City,Graduated,8/17/2021,5/2/2023,FID0118,FAM0494,FAM0494
ChildA-1443,Tracy King,1/22/2005,Community,Graduated,8/2/2007,1/21/2010,FID0119,FAM0502,FAM0502
ChildA-1750,Tracy Sanchez,8/6/2002,Community,Graduated,11/6/2004,8/5/2007,FID0120,FAM0506,FAM0506
ChildA-1200,Mallory Davis,1/4/2019,Community,Graduated,12/25/2020,1/3/2024,FID0121,FAM0509,FAM0509
ChildA-1671,Destiny Harmon,9/6/2021,City,Enrolled,2/25/2023,,FID0123,FAM0517,FAM0517
ChildA-1221,Joshua Dawson,5/13/2014,Community,Graduated,4/13/2015,5/12/2019,FID0124,FAM0520,FAM0520
ChildA-1160,Tyler Mitchell,8/21/2014,Community,Graduated,5/30/2019,8/20/2019,FID0123,FAM0530,FAM0530
ChildA-1181,John Williams,11/7/2021,Federal,Enrolled,10/29/2023,,FID0124,FAM0532,FAM0532
ChildA-1373,Charles Noble,12/4/1999,Community,Graduated,2/14/2004,12/2/2004,FID0125,FAM0536,FAM0536
ChildA-1333,Jean Roach,2/19/2010,City,Graduated,1/13/2015,2/18/2015,FID0126,FAM0538,FAM0538
ChildA-1217,Brent Smith,6/14/2008,Community,Graduated,5/20/2013,6/13/2013,FID0128,FAM0542,FAM0542
ChildA-1153,Dave Yates,7/14/2016,Community,Graduated,4/16/2017,7/13/2021,FID0129,FAM0545,FAM0545
ChildA-1677,Frederick Pitts,2/6/2017,City,Graduated,12/4/2021,2/5/2022,FID0130,FAM0548,FAM0548
ChildA-1051,Debra Gardner,8/24/2021,City,Removed,7/20/2022,5/11/2023,FID0131,FAM0550,FAM0550
ChildA-1786,Michelle Kennedy,12/8/2014,Community,Graduated,3/5/2017,12/7/2019,FID0133,FAM0554,FAM0554
ChildA-2401,Jessica Crane,6/29/2016,Federal,Graduated,10/15/2017,6/28/2021,FID0135,FAM0568,FAM0568
ChildA-1368,Amanda Garcia,12/16/2000,Community,Graduated,6/24/2001,12/15/2005,FID0136,FAM0570,FAM0570
ChildA-2245,Angela Adams,7/16/1993,Community,Graduated,5/20/1998,7/15/1998,FID0137,FAM0574,FAM0574
ChildA-2053,Julia Reid,3/9/2019,City,Graduated,11/19/2022,3/7/2024,FID0138,FAM0577,FAM0577
ChildA-1053,Brett Rose,12/19/2014,City,Graduated,5/15/2016,12/18/2019,FID0139,FAM0586,FAM0586
ChildA-1396,Danielle Torres,3/24/2008,City,Graduated,6/17/2011,3/23/2013,FID0140,FAM0589,FAM0589
ChildA-1191,Sarah Scott,7/8/2014,Community,Graduated,1/11/2017,7/7/2019,FID0141,FAM0591,FAM0591
ChildA-1216,Hunter Turner,6/1/2001,Federal,Graduated,10/9/2004,5/31/2006,FID0142,FAM0593,FAM0593
ChildA-2037,Daniel Cordova,3/30/2008,Community,Graduated,9/7/2012,3/29/2013,FID0143,FAM0595,FAM0595
ChildA-1905,Jennifer Fritz,5/19/2019,Community,Graduated,2/26/2020,5/17/2024,FID0144,FAM0604,FAM0604
ChildA-1154,Keith Green,12/3/2004,Community,Graduated,9/4/2009,12/2/2009,FID0145,FAM0616,FAM0616
ChildA-1082,April Gonzalez,9/27/2011,Community,Graduated,1/19/2012,9/25/2016,FID0146,FAM0618,FAM0618
ChildA-1085,Jessica Crawford,8/19/1993,Community,Graduated,4/4/1998,8/18/1998,FID0147,FAM0621,FAM0621
ChildA-1355,Nathan Tucker,4/3/2014,City,Graduated,4/24/2016,4/2/2019,FID0148,FAM0625,FAM0625
ChildA-1843,Jennifer Moore,2/5/2016,Community,Graduated,3/10/2020,2/3/2021,FID0150,FAM0645,FAM0645
ChildA-1388,Jordan Brown,6/18/2002,Community,Graduated,12/29/2005,6/17/2007,FID0151,FAM0656,FAM0656
ChildA-1832,Ashley Rogers,7/14/2009,Community,Graduated,5/3/2014,7/13/2014,FID0152,FAM0659,FAM0659
ChildA-1531,Keith Rhodes,10/30/2008,Community,Graduated,6/9/2009,10/29/2013,FID0153,FAM0664,FAM0664
ChildA-1183,Samantha Burns,6/21/2016,Community,Graduated,5/3/2020,6/20/2021,FID0154,FAM0669,FAM0669
ChildA-1087,Christian Davis,10/26/2011,Community,Graduated,10/13/2012,10/24/2016,FID0155,FAM0671,FAM0671
ChildA-1032,Corey Martin,6/3/2018,Federal,Graduated,3/3/2019,6/2/2023,FID0156,FAM0676,FAM0676
ChildA-1103,Gregory Cannon,3/13/2010,Community,Graduated,3/12/2015,3/12/2015,FID0157,FAM0678,FAM0678
ChildA-1148,Robin Schmitt,1/26/2020,Community,Graduated,7/21/2020,1/24/2025,FID0158,FAM0680,FAM0680
ChildA-1655,Joseph Romero,2/6/2016,Community,Graduated,4/15/2017,2/4/2021,FID0159,FAM0686,FAM0686
ChildA-1156,Maria Hernandez,8/28/2016,Community,Graduated,7/5/2021,8/27/2021,FID0160,FAM0688,FAM0688
ChildA-1927,Brenda Maldonado,4/5/2017,Community,Graduated,9/2/2017,4/4/2022,FID0161,FAM0690,FAM0690
ChildA-1071,Brenda Davis,4/3/2013,City,Removed,12/31/2014,6/22/2015,FID0162,FAM0692,FAM0692
ChildA-1789,Pam Camacho,11/9/2002,Community,Graduated,6/29/2005,11/8/2007,FID0163,FAM0694,FAM0694
ChildA-1943,Wanda Erickson,12/16/2009,City,Graduated,5/30/2014,12/15/2014,FID0164,FAM0698,FAM0698
ChildA-1173,Daniel Moore,3/19/2020,Community,Graduated,6/16/2024,9/10/2024,FID0165,FAM0700,FAM0700
ChildA-2038,Amber Cooper,4/15/2010,City,Graduated,3/18/2014,4/14/2015,FID0166,FAM0705,FAM0705
ChildA-1452,Molly Valencia,12/4/2012,Community,Graduated,5/17/2014,12/3/2017,FID0167,FAM0709,FAM0709
ChildA-1007,James Guerra,12/27/2021,City,Enrolled,1/20/2023,,FID0168,FAM0711,FAM0711
ChildA-1301,Jamie Dennis,6/1/2002,Community,Graduated,3/25/2004,5/31/2007,FID0169,FAM0715,FAM0715
ChildA-1440,Samantha Burch,6/27/2011,Community,Graduated,7/25/2012,6/25/2016,FID0170,FAM0721,FAM0721
ChildA-1042,Jose Valentine,12/16/2010,Community,Graduated,9/4/2014,12/15/2015,FID0171,FAM0723,FAM0723
ChildA-1036,Joseph Ortiz,4/9/2009,City,Graduated,3/31/2014,4/8/2014,FID0172,FAM0725,FAM0725
ChildA-1797,Michelle Stephens,5/2/2002,Federal,Graduated,12/4/2005,5/1/2007,FID0173,FAM0727,FAM0727
ChildA-1316,Austin Molina,12/18/2015,Community,Graduated,11/11/2017,12/16/2020,FID0174,FAM0729,FAM0729
ChildA-1658,Paul Wilson,2/8/1999,Community,Graduated,6/9/2002,2/7/2004,FID0175,FAM0736,FAM0736
ChildA-1212,Samantha Gutierrez,5/8/2016,City,Graduated,11/1/2019,5/7/2021,FID0176,FAM0741,FAM0741
ChildA-1480,Diane Meyer,9/17/2019,Community,Graduated,6/12/2020,9/15/2024,FID0177,FAM0743,FAM0743
ChildA-1662,Lawrence Thomas,6/3/2009,Federal,Graduated,4/21/2011,6/2/2014,FID0178,FAM0748,FAM0748
ChildA-1662,James Robles,4/21/2011,City,Graduated,1/30/2014,4/19/2016,FID0178,FAM0748,FAM0748
ChildA-2169,Kathy Lester,7/17/2006,City,Graduated,9/4/2009,7/16/2011,FID0179,FAM0758,FAM0758
ChildA-1027,Ronald Camacho,9/13/2019,Community,Graduated,9/18/2020,9/11/2024,FID0180,FAM0760,FAM0760
ChildA-1211,Michelle Jones,6/25/2011,Community,Graduated,5/1/2015,6/23/2016,FID0181,FAM0765,FAM0765
ChildA-1572,Brittany Atkins,9/23/2010,Community,Graduated,7/5/2014,9/22/2015,FID0182,FAM0769,FAM0769
ChildA-1438,Patricia Green,5/6/2020,Federal,Removed,1/24/2021,12/30/2023,FID0183,FAM0775,FAM0775
ChildA-1799,Mary Bowman,9/19/2010,Federal,Graduated,11/30/2011,9/18/2015,FID0184,FAM0781,FAM0781
ChildA-1998,William Howard,10/18/2014,Community,Graduated,2/24/2015,10/17/2019,FID0185,FAM0789,FAM0789
ChildA-1268,Tony Castillo,1/10/2009,Community,Graduated,4/9/2013,1/9/2014,FID0186,FAM0797,FAM0797
ChildA-1633,Michael Yu,8/28/2005,Community,Graduated,12/15/2008,8/27/2010,FID0187,FAM0799,FAM0799
ChildA-1121,Steven Huerta,9/14/2007,Community,Graduated,2/13/2011,9/12/2012,FID0188,FAM0801,FAM0801
ChildA-1279,Connor Black,7/7/2014,Community,Graduated,12/8/2016,7/6/2019,FID0189,FAM0804,FAM0804
ChildA-1554,Justin Anthony,9/5/2021,Community,Removed,1/26/2022,5/31/2022,FID0190,FAM0806,FAM0806
ChildA-1083,Natasha Wilson,5/3/2003,Community,Graduated,10/22/2004,5/1/2008,FID0191,FAM0809,FAM0809
ChildA-1193,Jody Smith,11/24/2013,Community,Graduated,9/9/2018,11/23/2018,FID0192,FAM0818,FAM0818
ChildA-1057,Amanda Henderson,4/10/2015,City,Graduated,11/10/2019,4/8/2020,FID0194,FAM0828,FAM0828
ChildA-2065,Paula Bowers,5/8/2020,Community,Enrolled,12/30/2024,,FID0195,FAM0831,FAM0831
ChildA-1439,Sean Mason,10/28/2016,Community,Graduated,8/9/2021,10/27/2021,FID0196,FAM0833,FAM0833
ChildA-1417,David Martin,6/8/2009,Community,Graduated,9/8/2011,6/7/2014,FID0197,FAM0835,FAM0835
ChildA-2018,Paul Mosley,10/2/2010,Community,Graduated,11/22/2011,10/1/2015,FID0198,FAM0842,FAM0842
ChildA-1772,Daniel Butler,8/9/2022,Community,Graduated,7/13/2024,9/7/2024,FID0199,FAM0844,FAM0844
ChildA-1098,Cassie Fischer,2/6/2019,City,Graduated,1/26/2023,2/5/2024,FID0200,FAM0846,FAM0846
ChildA-1833,Antonio Parker,11/21/2014,Community,Graduated,2/17/2018,11/20/2019,FID0201,FAM0852,FAM0852
ChildA-1093,April Buchanan,10/19/2014,City,Removed,6/14/2017,7/28/2017,FID0202,FAM0858,FAM0858
ChildA-1683,Alexander Ross,12/21/2007,Community,Graduated,11/25/2011,12/19/2012,FID0203,FAM0860,FAM0860
ChildA-1147,James Morales,8/20/2007,Community,Graduated,9/9/2009,8/18/2012,FID0204,FAM0862,FAM0862
ChildA-1938,Joshua Bailey,8/27/2007,City,Graduated,2/20/2011,8/25/2012,FID0206,FAM0871,FAM0871
ChildA-2136,Christina Lowe,7/7/2004,Federal,Graduated,4/8/2006,7/6/2009,FID0207,FAM0878,FAM0878
ChildA-2021,Patrick Herrera,3/2/2003,Community,Graduated,5/27/2006,2/29/2008,FID0208,FAM0883,FAM0883
ChildA-1603,Elizabeth Walker,3/15/2018,City,Graduated,3/2/2021,3/14/2023,FID0209,FAM0887,FAM0887
ChildA-1587,Daniel Golden,11/6/2016,City,Graduated,8/26/2017,11/5/2021,FID0210,FAM0889,FAM0889
ChildA-1351,John Johnson,11/20/2014,Community,Graduated,5/12/2016,11/19/2019,FID0211,FAM0893,FAM0893
ChildA-1005,Ashley White,11/10/2010,Community,Graduated,12/3/2011,11/9/2015,FID0212,FAM0895,FAM0895
ChildA-1482,Erin Taylor,4/4/2005,Federal,Graduated,1/19/2007,4/3/2010,FID0212,FAM0897,FAM0897
ChildA-1482,Marie Parrish,5/25/2004,Federal,Graduated,1/11/2009,5/24/2009,FID0213,FAM0897,FAM0897
ChildA-1857,Heather Smith,9/25/2022,Community,Enrolled,1/2/2024,,FID0214,FAM0904,FAM0904
ChildA-1857,Kevin Rivas,6/19/2020,Community,Enrolled,11/12/2024,,FID0213,FAM0904,FAM0904
ChildA-1300,Jacqueline Hammond,8/18/2013,Community,Graduated,5/7/2018,8/17/2018,FID0214,FAM0911,FAM0911
ChildA-1300,Amanda Crawford,6/6/2014,Community,Graduated,5/19/2019,6/5/2019,FID0215,FAM0911,FAM0911
ChildA-1830,Daniel Walls,5/14/2007,City,Graduated,1/4/2010,5/12/2012,FID0216,FAM0916,FAM0916
